Type-Aware?,Library,InFunction,name,line,column,IsFromParameter,HasTypeInfo,InferredType,TypeHint,DocString,MissingTypesOnPath,TypeOutsideOfPackage,Decrease,Increase,FoundType
Yes,safeds,safeds.data.tabular.containers._column.get_value.359.4,IndexOutOfBoundsError,386,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.all.394.4,all,418,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.all.394.4,predicate,418,19,Yes,Yes,Yes,Yes,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.any.420.4,any,444,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.any.420.4,predicate,444,19,Yes,Yes,Yes,Yes,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.none.446.4,all,471,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.none.446.4,predicate,471,23,Yes,Yes,Yes,Yes,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.has_missing_values.473.4,any,493,15,No,Yes,Yes,No,No,No,No,-0,+0,['safeds/data/tabular/containers/_column/Column']
Yes,safeds,safeds.data.tabular.containers._column.has_missing_values.473.4,isinstance,493,56,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.has_missing_values.473.4,isnan,493,86,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.rename.499.4,_from_pandas_series,522,15,No,Yes,Yes,No,No,No,No,-0,+0,['safeds/data/tabular/containers/_column/Column']
Yes,safeds,safeds.data.tabular.containers._column.rename.499.4,rename,522,42,No,No,Yes,No,No,No,Yes,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.transform.524.4,Column,546,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.transform.524.4,apply,546,33,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.correlation_with.552.4,NonNumericColumnError,582,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.correlation_with.552.4,join,583,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.correlation_with.552.4,format,583,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.correlation_with.552.4,is_numeric,581,15,No,Yes,Yes,No,No,No,No,-0,+0,['safeds/data/tabular/typing/_column_type/ColumnType']
Yes,safeds,safeds.data.tabular.containers._column.correlation_with.552.4,is_numeric,581,46,Yes,Yes,Yes,Yes,No,No,No,-0,+0,['safeds/data/tabular/typing/_column_type/ColumnType']
Yes,safeds,safeds.data.tabular.containers._column.correlation_with.552.4,ColumnLengthMismatchError,586,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.correlation_with.552.4,join,587,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.correlation_with.552.4,format,587,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.correlation_with.552.4,corr,589,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.tabular.containers._column.idness.591.4,ColumnSizeError,623,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
