Type-Aware,Library,FunctionId,Runtime of body analysis,Date
Yes,seaborn,seaborn/regression/_RegressionPlotter/estimate_data,0.0019936561584472656,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/_RegressionPlotter/fit_regression,0.0029969215393066406,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/_RegressionPlotter/fit_fast,0.0019981861114501953,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/_RegressionPlotter/fit_poly,0.001998424530029297,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/_RegressionPlotter/fit_statsmodels,0.0019979476928710938,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/_RegressionPlotter/fit_lowess,0.0010638236999511719,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/_RegressionPlotter/fit_logx,0.0020143985748291016,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/_RegressionPlotter/bin_predictor,0.0,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/_RegressionPlotter/regress_out,0.0009992122650146484,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/_RegressionPlotter/plot,0.001997709274291992,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/_RegressionPlotter/scatterplot,0.0019981861114501953,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/_RegressionPlotter/lineplot,0.0009987354278564453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/lmplot,0.005993843078613281,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/regplot,0.0009818077087402344,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/regression/residplot,0.0009987354278564453,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/relational/_RelationalPlotter/add_legend_data,0.010568380355834961,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/relational/_LinePlotter/__init__,0.0010104179382324219,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/relational/_LinePlotter/plot,0.008010387420654297,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/relational/_ScatterPlotter/__init__,0.0009992122650146484,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/relational/_ScatterPlotter/plot,0.002997159957885742,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/relational/lineplot,0.0019807815551757812,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/relational/scatterplot,0.00099945068359375,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/relational/relplot,0.00899195671081543,2025-02-27 15:41:22.555765
Yes,seaborn,seaborn/utils/ci_to_errsize,0.0009984970092773438,2025-02-27 15:41:22.555765
