Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Possible reason for no found functions,Date
Yes,seaborn,seaborn.categorical,update,870,12,No,0,1,Found no referenced functions,whisk.update.(),whisk,MemberExpr:870(  NameExpr(whisk [l])  update) Type is Any No missing import name ,2025-02-21 11:51:34.252791
Yes,seaborn,seaborn.categorical,update,872,12,No,0,1,Found no referenced functions,cap.update.(),cap,MemberExpr:872(  NameExpr(cap [l])  update) Type is Any No missing import name ,2025-02-21 11:51:34.253798
Yes,seaborn,seaborn.categorical,update,874,12,No,0,1,Found no referenced functions,cap.update.(),cap,MemberExpr:874(  NameExpr(cap [l])  update) Type is Any No missing import name ,2025-02-21 11:51:34.254827
Yes,seaborn,seaborn.categorical,update,876,12,No,0,1,Found no referenced functions,med.update.(),med,MemberExpr:876(  NameExpr(med [l])  update) Type is Any No missing import name ,2025-02-21 11:51:34.255823
Yes,seaborn,seaborn.categorical,update,878,12,No,0,1,Found no referenced functions,med.update.(),med,MemberExpr:878(  NameExpr(med [l])  update) Type is Any No missing import name ,2025-02-21 11:51:34.255823
Yes,seaborn,seaborn.categorical,update,880,12,No,0,1,Found no referenced functions,fly.update.(),fly,MemberExpr:880(  NameExpr(fly [l])  update) Type is Any No missing import name ,2025-02-21 11:51:34.256801
Yes,seaborn,seaborn.categorical,update,884,12,No,0,1,Found no referenced functions,fly.update.(),fly,MemberExpr:884(  NameExpr(fly [l])  update) Type is Any No missing import name ,2025-02-21 11:51:34.257801
Yes,seaborn,seaborn.categorical,remove_na,950,27,No,1,1,Found same amount of functions,remove_na.(),seaborn.utils.remove_na,,2025-02-21 11:51:34.263790
Yes,seaborn,seaborn.categorical,remove_na,999,31,No,1,1,Found same amount of functions,remove_na.(),seaborn.utils.remove_na,,2025-02-21 11:51:34.263790
Yes,seaborn,seaborn.categorical,fit_kde,969,31,No,1,1,Found same amount of functions,self.fit_kde.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:34.269789
Yes,seaborn,seaborn.categorical,fit_kde,1018,35,No,1,1,Found same amount of functions,self.fit_kde.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:34.270798
Yes,seaborn,seaborn.categorical,kde_support,972,28,No,1,1,Found same amount of functions,self.kde_support.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:34.271790
Yes,seaborn,seaborn.categorical,kde_support,1021,33,No,1,1,Found same amount of functions,self.kde_support.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:34.272800
Yes,seaborn,seaborn.categorical,evaluate,973,28,No,0,1,Found no referenced functions,kde.evaluate.(),kde,MemberExpr:973(  NameExpr(kde [l])  evaluate) Type is Any No missing import name ,2025-02-21 11:51:34.273788
Yes,seaborn,seaborn.categorical,evaluate,1023,33,No,0,1,Found no referenced functions,kde.evaluate.(),kde,MemberExpr:1023(  NameExpr(kde [l])  evaluate) Type is Any No missing import name ,2025-02-21 11:51:34.273788
Yes,seaborn,seaborn.categorical,scale_area,1037,12,No,1,1,Found same amount of functions,self.scale_area.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:34.274786
Yes,seaborn,seaborn.categorical,scale_width,1040,12,No,1,1,Found same amount of functions,self.scale_width.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:34.274786
Yes,seaborn,seaborn.categorical,scale_count,1043,12,No,1,1,Found same amount of functions,self.scale_count.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:34.275786
Yes,seaborn,seaborn.categorical,draw_single_observation,1160,20,No,1,1,Found same amount of functions,self.draw_single_observation.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.465086
Yes,seaborn,seaborn.categorical,draw_single_observation,1219,24,No,1,1,Found same amount of functions,self.draw_single_observation.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.466092
Yes,seaborn,seaborn.categorical,remove_na,1176,30,No,1,1,Found same amount of functions,remove_na.(),seaborn.utils.remove_na,,2025-02-21 11:51:46.468096
Yes,seaborn,seaborn.categorical,remove_na,1245,38,No,1,1,Found same amount of functions,remove_na.(),seaborn.utils.remove_na,,2025-02-21 11:51:46.469056
Yes,seaborn,seaborn.categorical,remove_na,1265,38,No,1,1,Found same amount of functions,remove_na.(),seaborn.utils.remove_na,,2025-02-21 11:51:46.469056
Yes,seaborn,seaborn.categorical,remove_na,1291,38,No,1,1,Found same amount of functions,remove_na.(),seaborn.utils.remove_na,,2025-02-21 11:51:46.470055
Yes,seaborn,seaborn.categorical,draw_box_lines,1180,20,No,1,1,Found same amount of functions,self.draw_box_lines.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.471055
Yes,seaborn,seaborn.categorical,draw_box_lines,1269,28,No,1,1,Found same amount of functions,self.draw_box_lines.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.472096
Yes,seaborn,seaborn.categorical,draw_box_lines,1295,28,No,1,1,Found same amount of functions,self.draw_box_lines.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.472096
Yes,seaborn,seaborn.categorical,draw_quartiles,1184,20,No,1,1,Found same amount of functions,self.draw_quartiles.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.473056
Yes,seaborn,seaborn.categorical,draw_quartiles,1249,28,No,1,1,Found same amount of functions,self.draw_quartiles.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.473056
Yes,seaborn,seaborn.categorical,draw_quartiles,1299,28,No,1,1,Found same amount of functions,self.draw_quartiles.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.474066
Yes,seaborn,seaborn.categorical,draw_stick_lines,1188,20,No,1,1,Found same amount of functions,self.draw_stick_lines.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.474066
Yes,seaborn,seaborn.categorical,draw_stick_lines,1255,28,No,1,1,Found same amount of functions,self.draw_stick_lines.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.475084
Yes,seaborn,seaborn.categorical,draw_stick_lines,1305,28,No,1,1,Found same amount of functions,self.draw_stick_lines.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.475084
Yes,seaborn,seaborn.categorical,draw_points,1192,20,No,1,1,Found same amount of functions,self.draw_points.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.475084
Yes,seaborn,seaborn.categorical,draw_points,1273,28,No,1,1,Found same amount of functions,self.draw_points.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.476071
Yes,seaborn,seaborn.categorical,draw_points,1311,28,No,1,1,Found same amount of functions,self.draw_points.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.476071
Yes,seaborn,seaborn.categorical,add_legend_data,1206,24,No,1,1,Found same amount of functions,self.add_legend_data.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.477071
Yes,seaborn,seaborn.categorical,plot,1317,12,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1317(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.481069
Yes,seaborn,seaborn.categorical,plot,1322,12,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1322(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.481069
Yes,seaborn,seaborn.categorical,plot,1337,12,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1337(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.482071
Yes,seaborn,seaborn.categorical,plot,1340,12,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1340(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.482071
Yes,seaborn,seaborn.categorical,plot,1349,12,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1349(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.483071
Yes,seaborn,seaborn.categorical,plot,1352,12,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1352(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.483071
Yes,seaborn,seaborn.categorical,square,1347,25,No,0,1,Found no referenced functions,np.square.(),numpy,MemberExpr:1347(  NameExpr(np [numpy])  square [numpy.square]) Mypy Node is a mp_nodes.MypyFile ,2025-02-21 11:51:46.484071
Yes,seaborn,seaborn.categorical,square,1359,25,No,0,1,Found no referenced functions,np.square.(),numpy,MemberExpr:1359(  NameExpr(np [numpy])  square [numpy.square]) Mypy Node is a mp_nodes.MypyFile ,2025-02-21 11:51:46.484071
Yes,seaborn,seaborn.categorical,draw_to_density,1365,8,No,1,1,Found same amount of functions,self.draw_to_density.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.492104
Yes,seaborn,seaborn.categorical,draw_to_density,1368,8,No,1,1,Found same amount of functions,self.draw_to_density.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.493104
Yes,seaborn,seaborn.categorical,draw_to_density,1371,8,No,1,1,Found same amount of functions,self.draw_to_density.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.493104
Yes,seaborn,seaborn.categorical,square,1377,21,No,0,1,Found no referenced functions,np.square.(),numpy,MemberExpr:1377(  NameExpr(np [numpy])  square [numpy.square]) Mypy Node is a mp_nodes.MypyFile ,2025-02-21 11:51:46.494107
Yes,seaborn,seaborn.categorical,square,1654,29,No,0,1,Found no referenced functions,np.square.(),numpy,MemberExpr:1654(  NameExpr(np [numpy])  square [numpy.square]) Mypy Node is a mp_nodes.MypyFile ,2025-02-21 11:51:46.497108
Yes,seaborn,seaborn.categorical,plot,1663,20,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1663(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.497108
Yes,seaborn,seaborn.categorical,plot,1666,20,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1666(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.498112
Yes,seaborn,seaborn.categorical,plot,1701,24,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1701(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.498112
Yes,seaborn,seaborn.categorical,plot,1704,24,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1704(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.499106
Yes,seaborn,seaborn.categorical,draw_confints,1670,12,No,1,1,Found same amount of functions,self.draw_confints.(),"NamedType(name='_PointPlotter', qname='seaborn.categorical._PointPlotter')",,2025-02-21 11:51:46.499106
Yes,seaborn,seaborn.categorical,draw_confints,1711,20,No,1,1,Found same amount of functions,self.draw_confints.(),"NamedType(name='_PointPlotter', qname='seaborn.categorical._PointPlotter')",,2025-02-21 11:51:46.500111
Yes,seaborn,seaborn.categorical,remove_na,1716,31,No,1,1,Found same amount of functions,remove_na.(),seaborn.utils.remove_na,,2025-02-21 11:51:46.500111
Yes,seaborn,seaborn.categorical,remove_na,1725,27,No,1,1,Found same amount of functions,remove_na.(),seaborn.utils.remove_na,,2025-02-21 11:51:46.501122
Yes,seaborn,seaborn.categorical,draw_to_density,1392,12,No,1,1,Found same amount of functions,self.draw_to_density.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-02-21 11:51:46.508105
Yes,seaborn,seaborn.categorical,plot,1404,16,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1404(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.509110
Yes,seaborn,seaborn.categorical,plot,1406,16,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1406(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.510107
Yes,seaborn,seaborn.categorical,plot,1408,16,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1408(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.510107
Yes,seaborn,seaborn.categorical,plot,1411,16,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1411(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.511081
Yes,seaborn,seaborn.categorical,plot,1413,16,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1413(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.511081
Yes,seaborn,seaborn.categorical,plot,1415,16,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1415(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.512087
Yes,seaborn,seaborn.categorical,agg,1461,22,No,0,1,Found no referenced functions,agg.(),agg,NameExpr(agg [l]) Type is Any No missing import name ,2025-02-21 11:51:46.515106
Yes,seaborn,seaborn.categorical,agg,1484,26,No,0,1,Found no referenced functions,agg.(),agg,NameExpr(agg [l]) Type is Any No missing import name ,2025-02-21 11:51:46.516128
Yes,seaborn,seaborn.categorical,plot,1506,16,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1506(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.521111
Yes,seaborn,seaborn.categorical,plot,1508,20,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1508(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.522117
Yes,seaborn,seaborn.categorical,plot,1510,20,No,0,2,Found no referenced functions,ax.plot.(),ax,MemberExpr:1510(  NameExpr(ax [l])  plot) Type is Any No missing import name ,2025-02-21 11:51:46.523124
