Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
sklearn,sklearn.cluster._mean_shift,84,14,SliceExpr,None,,SliceExpr,2025-02-09 01:21:54.380732
sklearn,sklearn.cluster._mean_shift,86,22,OpExpr,float,,OpExpr,2025-02-09 01:21:54.386729
sklearn,sklearn.cluster.tests.common,35,12,SliceExpr,int,,SliceExpr,2025-02-09 01:21:55.192010
sklearn,sklearn.covariance._graph_lasso,655,27,OpExpr,bool,,OpExpr,2025-02-09 01:22:03.456150
sklearn,sklearn.covariance._robust_covariance,180,16,OpExpr,int,,OpExpr,2025-02-09 01:22:03.743150
sklearn,sklearn.covariance._robust_covariance,348,17,SliceExpr,int,,SliceExpr,2025-02-09 01:22:03.795147
sklearn,sklearn.covariance._robust_covariance,516,20,IndexExpr,None,,"Any, Any",2025-02-09 01:22:04.003146
sklearn,sklearn.covariance._shrunk_covariance,142,18,OpExpr,float,,OpExpr,2025-02-09 01:22:04.229300
sklearn,sklearn.covariance._shrunk_covariance,340,19,OpExpr,int,,OpExpr,2025-02-09 01:22:04.271300
sklearn,sklearn.covariance._shrunk_covariance,349,41,OpExpr,int,,OpExpr,2025-02-09 01:22:04.281301
sklearn,sklearn.covariance._shrunk_covariance,350,41,OpExpr,int,,OpExpr,2025-02-09 01:22:04.284303
sklearn,sklearn.covariance._shrunk_covariance,353,37,OpExpr,int,,OpExpr,2025-02-09 01:22:04.298300
sklearn,sklearn.covariance._shrunk_covariance,357,37,OpExpr,int,,OpExpr,2025-02-09 01:22:04.315299
sklearn,sklearn.datasets._arff_parser,249,24,OpExpr,None,,OpExpr,2025-02-09 01:22:06.476269
sklearn,sklearn.datasets._arff_parser,399,53,OpExpr,None,,OpExpr,2025-02-09 01:22:06.566259
sklearn,sklearn.datasets._covtype,188,9,OpExpr,bool,,OpExpr,2025-02-09 01:22:07.092474
sklearn,sklearn.datasets._lfw,216,12,OpExpr,int,,OpExpr,2025-02-09 01:22:07.409039
sklearn,sklearn.datasets._openml,39,49,OpExpr,str,,OpExpr,2025-02-09 01:22:07.582754
sklearn,sklearn.datasets._openml,145,18,OpExpr,str,,OpExpr,2025-02-09 01:22:07.598892
sklearn,sklearn.datasets._openml,531,24,OpExpr,"UnionType[Dict[Any, Any], None]",,OpExpr,2025-02-09 01:22:07.691561
sklearn,sklearn.datasets._openml,1026,7,OpExpr,"UnionType[str, bool]",,OpExpr,2025-02-09 01:22:07.791509
sklearn,sklearn.datasets._rcv1,184,7,OpExpr,bool,,OpExpr,2025-02-09 01:22:07.873287
sklearn,sklearn.datasets._rcv1,210,7,OpExpr,bool,,OpExpr,2025-02-09 01:22:07.940121
sklearn,sklearn.datasets._rcv1,275,12,OpExpr,str,,OpExpr,2025-02-09 01:22:07.955124
sklearn,sklearn.datasets._samples_generator,199,7,OpExpr,int,,OpExpr,2025-02-09 01:22:08.010120
sklearn,sklearn.datasets._samples_generator,211,64,OpExpr,int,,OpExpr,2025-02-09 01:22:08.013125
sklearn,sklearn.datasets._samples_generator,206,31,OpExpr,int,,OpExpr,2025-02-09 01:22:08.015122
sklearn,sklearn.datasets._samples_generator,216,43,OpExpr,int,,OpExpr,2025-02-09 01:22:08.017146
sklearn,sklearn.datasets._samples_generator,222,26,OpExpr,None,,OpExpr,2025-02-09 01:22:08.019122
sklearn,sklearn.datasets._samples_generator,220,27,OpExpr,int,,OpExpr,2025-02-09 01:22:08.026122
sklearn,sklearn.datasets._samples_generator,227,18,OpExpr,int,,OpExpr,2025-02-09 01:22:08.027121
sklearn,sklearn.datasets._samples_generator,227,19,OpExpr,int,,OpExpr,2025-02-09 01:22:08.027121
sklearn,sklearn.datasets._samples_generator,229,16,OpExpr,int,,OpExpr,2025-02-09 01:22:08.029120
sklearn,sklearn.datasets._samples_generator,230,17,OpExpr,int,,OpExpr,2025-02-09 01:22:08.030122
sklearn,sklearn.datasets._samples_generator,234,12,OpExpr,int,,OpExpr,2025-02-09 01:22:08.034123
sklearn,sklearn.datasets._samples_generator,234,32,OpExpr,int,,OpExpr,2025-02-09 01:22:08.035137
sklearn,sklearn.datasets._samples_generator,249,17,OpExpr,float,,OpExpr,2025-02-09 01:22:08.052128
sklearn,sklearn.datasets._samples_generator,262,24,OpExpr,int,,OpExpr,2025-02-09 01:22:08.070727
sklearn,sklearn.datasets._samples_generator,273,29,OpExpr,int,,OpExpr,2025-02-09 01:22:08.089724
sklearn,sklearn.datasets._samples_generator,279,12,OpExpr,int,,OpExpr,2025-02-09 01:22:08.094724
sklearn,sklearn.datasets._samples_generator,281,17,OpExpr,int,,OpExpr,2025-02-09 01:22:08.104723
sklearn,sklearn.datasets._samples_generator,294,16,OpExpr,float,,OpExpr,2025-02-09 01:22:08.121723
sklearn,sklearn.datasets._samples_generator,429,17,OpExpr,int,,OpExpr,2025-02-09 01:22:08.164308
sklearn,sklearn.datasets._samples_generator,430,15,OpExpr,bool,,OpExpr,2025-02-09 01:22:08.167313
